POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010863788   ,    20250905,     20251002,       134455,         .00,         3974.88,      -3974.88,            .00,        .0740,F            ,D         ,H          ,         ,       20250905,               0,      20250905,ZERO_BALANCE_HOLD
9010864397   ,    20260115,     20260115,       182136,     3993.77,         3698.23,        295.54,            .00,        .0740,F            ,D         ,A          ,R        ,       20250611,        20260115,      20260115,ACTIVE_CANDIDATE
9010866396   ,    20210208,     20210209,        80948,         .00,            6.60,         -6.60,            .00,        .0740,F            ,D         ,H          ,R        ,       20210208,               0,      20210208,ZERO_BALANCE_HOLD
9010867974   ,    20191210,     20200210,       180730,      123.14,          114.03,          9.11,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20191210,      20191210,ACTIVE_CANDIDATE
9010868131   ,    20240220,     20240221,       162001,         .00,           45.33,        -45.33,            .00,        .0740,F            ,D         ,H          ,R        ,       20240220,               0,      20240220,ZERO_BALANCE_HOLD
9010870474   ,    20180816,     20180816,       125409,         .00,        12032.27,     -12032.27,            .00,        .0740,F            ,D         ,H          ,         ,       20180816,               0,      20180816,ZERO_BALANCE_HOLD
9010872105   ,    20250319,     20250424,        90315,         .00,         6127.60,      -6127.60,            .00,        .0740,F            ,D         ,H          ,         ,       20250319,               0,      20250319,ZERO_BALANCE_HOLD
9010872324   ,    20150117,     20150209,        82734,         .00,        20128.55,     -20128.55,            .00,        .0740,F            ,D         ,H          ,R        ,       20150117,               0,      20150117,ZERO_BALANCE_HOLD
9010872329   ,    20260326,     20260327,       160319,         .00,          148.14,       -148.14,            .00,        .0740,F            ,D         ,H          ,         ,       20260326,               0,      20260326,ZERO_BALANCE_HOLD
9010872404   ,    20260122,     20260122,       180543,     2365.80,         2190.73,        175.07,            .00,        .0740,F            ,D         ,A          ,R        ,       20250502,        20260122,      20260122,ACTIVE_CANDIDATE
9010872406   ,    20260122,     20260122,       180545,     2541.61,         2353.53,        188.08,            .00,        .0740,F            ,D         ,A          ,R        ,       20250502,        20260122,      20260122,ACTIVE_CANDIDATE
9010872522   ,    20190121,     20190115,        94313,         .00,         2092.29,      -2092.29,            .00,        .0740,F            ,D         ,H          ,R        ,       20190121,               0,      20190121,ZERO_BALANCE_HOLD
9010873155   ,    20260126,     20260126,       180836,     3834.32,         3550.58,        283.74,            .00,        .0740,F            ,D         ,A          ,R        ,       20260120,        20260126,      20260126,ACTIVE_CANDIDATE
9010873283   ,    20260123,     20260324,       180718,      698.11,          646.45,         51.66,            .00,        .0740,F            ,D         ,A          ,A        ,       20220211,        20260123,      20260123,ACTIVE_CANDIDATE
9010874688   ,    20081118,     20081125,        71037,         .00,         2171.64,      -2171.64,            .00,        .0740,F            ,D         ,H          ,R        ,       20081118,               0,      20081118,ZERO_BALANCE_HOLD
9010875065   ,    20240121,     20240122,       180212,    14351.18,        13289.19,       1061.99,            .00,        .0740,F            ,D         ,R          ,R        ,       20200127,        20240121,      20240121,ACTIVE_CANDIDATE
9010877009   ,    20240127,     20240327,       180012,         .00,         5566.14,      -5566.14,            .00,        .0740,F            ,D         ,H          ,         ,       20240127,               0,      20240127,ZERO_BALANCE_HOLD
9010878099   ,    20260211,     20260211,       180950,     1808.14,         1674.34,        133.80,            .00,        .0740,F            ,D         ,A          ,R        ,       20260203,        20260211,      20260211,ACTIVE_CANDIDATE
9010879786   ,    20260401,     20260529,       181137,       29.45,           27.45,          2.00,            .00,        .0740,F            ,D         ,A          ,A        ,              0,        20260401,      20260401,ACTIVE_CANDIDATE
9010880257   ,    20180302,     20180501,       184620,         .00,         3554.23,      -3554.23,            .00,        .0740,F            ,D         ,H          ,         ,       20180302,               0,      20180302,ZERO_BALANCE_HOLD
9010880362   ,    20260303,     20260304,       125826,      785.48,          727.35,         58.13,            .00,        .0740,F            ,D         ,A          ,R        ,       20260303,        20260303,      20260303,ACTIVE_CANDIDATE
9010881272   ,    20190806,     20190806,       124955,         .00,         3101.15,      -3101.15,            .00,        .0740,F            ,D         ,H          ,         ,       20190806,               0,      20190806,ZERO_BALANCE_HOLD
9010881301   ,    20111101,     20111230,       205855,       38.46,           37.49,           .97,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20111101,      20111101,ACTIVE_CANDIDATE
9010882408   ,    20260311,     20260311,       180805,      342.34,          317.01,         25.33,            .00,        .0740,F            ,D         ,A          ,R        ,       20260309,        20260311,      20260311,ACTIVE_CANDIDATE
9010883172   ,    20260314,     20260316,       181250,     2538.76,         2350.89,        187.87,            .00,        .0740,F            ,D         ,A          ,R        ,              0,        20260314,      20260314,ACTIVE_CANDIDATE
9010883244   ,    20260314,     20260316,       181251,     2009.94,         1861.20,        148.74,            .00,        .0740,F            ,D         ,A          ,R        ,              0,        20260314,      20260314,ACTIVE_CANDIDATE
9010883533   ,    20260526,     20260526,       181050,     5271.38,         4952.70,        318.68,            .00,        .0740,F            ,D         ,A          ,R        ,       20260526,        20260526,      20260526,ACTIVE_CANDIDATE
9010886528   ,    20161228,     20170111,       111249,         .00,         2671.19,      -2671.19,            .00,        .0740,F            ,D         ,H          ,R        ,       20161228,               0,      20161228,ZERO_BALANCE_HOLD
9010887927   ,    20250408,     20250609,       180057,         .00,         3792.96,      -3792.96,            .00,        .0740,F            ,D         ,H          ,         ,       20250408,               0,      20250408,ZERO_BALANCE_HOLD
9010887929   ,    20240408,     20240607,       181246,         .00,         4227.62,      -4227.62,            .00,        .0740,F            ,D         ,H          ,         ,       20240408,               0,      20240408,ZERO_BALANCE_HOLD
9010891075   ,    20220225,     20220225,       183339,    13272.42,        13091.94,        180.48,            .00,        .0740,F            ,D         ,R          ,R        ,       20220225,        20220225,      20220225,ACTIVE_CANDIDATE
9010892327   ,    20180418,     20180501,       152508,         .00,          956.23,       -956.23,            .00,        .0740,F            ,D         ,H          ,         ,       20180418,               0,      20180418,ZERO_BALANCE_HOLD
9010892695   ,    20260505,     20260505,       180302,     7709.19,         7144.73,        564.46,            .00,        .0740,F            ,D         ,A          ,R        ,       20260505,        20260505,      20260505,ACTIVE_CANDIDATE
9010894743   ,    20150905,     20150922,       104006,         .00,         4302.00,      -4302.00,            .00,        .0740,F            ,D         ,H          ,R        ,       20150905,               0,      20150905,ZERO_BALANCE_HOLD
9010895934   ,    20250708,     20250709,       101126,     3461.13,         3245.77,        215.36,            .00,        .0740,F            ,D         ,A          ,R        ,       20250708,        20250708,      20250708,ACTIVE_CANDIDATE
9010895935   ,    20190225,     20190226,        91139,         .00,         1582.28,      -1582.28,            .00,        .0740,F            ,D         ,H          ,         ,       20190225,               0,      20190225,ZERO_BALANCE_HOLD
9010895936   ,    20190225,     20190226,        91410,         .00,         1582.28,      -1582.28,            .00,        .0740,F            ,D         ,H          ,         ,       20190225,               0,      20190225,ZERO_BALANCE_HOLD
9010897521   ,    20070921,     20071022,       121307,         .00,         1163.56,      -1163.56,            .00,        .0740,F            ,D         ,R          ,R        ,       20070921,               0,      20070921,ZERO_BALANCE_HOLD
9010897662   ,    20260520,     20260520,       180644,     4735.84,         4385.39,        350.45,            .00,        .0740,F            ,D         ,A          ,R        ,       20240717,        20260520,      20260520,ACTIVE_CANDIDATE
9010897663   ,    20260520,     20260520,       180644,     1705.82,         1579.59,        126.23,            .00,        .0740,F            ,D         ,A          ,R        ,       20240717,        20260520,      20260520,ACTIVE_CANDIDATE
9010897664   ,    20180320,     20180514,       135534,         .00,         6991.63,      -6991.63,            .00,        .0740,F            ,D         ,H          ,         ,       20180320,               0,      20180320,ZERO_BALANCE_HOLD
