PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
103PFN,19,00,.00,.00,.00,.08,4.16,8.40,12.83,17.43,22.21,27.19,F,NS,00,0000,00,19000101
103PFN,19,01,32.37,37.76,43.35,49.17,55.21,61.47,67.96,74.68,81.65,88.90,F,NS,00,0000,00,19000101
103PFN,19,02,96.42,104.24,112.35,120.76,129.48,138.51,147.83,157.46,167.37,177.56,F,NS,00,0000,00,19000101
103PFN,19,03,188.05,198.81,209.84,221.12,232.67,244.47,256.55,268.85,281.40,294.20,F,NS,00,0000,00,19000101
103PFN,19,04,307.26,320.61,334.23,348.14,362.34,376.84,391.62,406.68,422.00,437.57,F,NS,00,0000,00,19000101
103PFN,19,05,453.38,469.40,485.60,501.93,518.40,534.99,551.67,568.42,585.25,602.11,F,NS,00,0000,00,19000101
103PFN,19,06,619.04,636.00,652.64,668.87,684.86,700.58,715.96,731.40,746.22,760.50,F,NS,00,0000,00,19000101
103PFN,19,07,774.33,788.16,803.46,819.67,836.44,853.84,872.14,892.91,918.18,952.59,F,NS,00,0000,00,19000101
103PFN,20,00,.00,.00,.00,.58,4.83,9.28,13.90,18.70,23.70,28.89,F,NS,00,0000,00,19000101
103PFN,20,01,34.30,39.91,45.75,51.81,58.10,64.61,71.36,78.35,85.62,93.18,F,NS,00,0000,00,19000101
103PFN,20,02,101.02,109.16,117.60,126.36,135.41,144.77,154.43,164.37,174.61,185.13,F,NS,00,0000,00,19000101
103PFN,20,03,195.93,207.00,218.33,229.91,241.76,253.88,266.23,278.82,291.66,304.77,F,NS,00,0000,00,19000101
103PFN,20,04,318.17,331.84,345.80,360.05,374.60,389.44,404.55,419.93,435.55,451.41,F,NS,00,0000,00,19000101
103PFN,20,05,467.50,483.75,500.14,516.67,533.32,550.06,566.87,583.76,600.68,617.67,F,NS,00,0000,00,19000101
103PFN,20,06,634.69,651.39,667.68,683.73,699.50,714.94,730.44,745.30,759.64,773.52,F,NS,00,0000,00,19000101
103PFN,20,07,787.40,802.76,819.02,835.86,853.31,871.68,892.52,917.88,952.42,,F,NS,00,0000,00,19000101
103PFN,21,00,.00,.00,.00,1.08,5.54,10.18,14.99,20.01,25.23,30.65,F,NS,00,0000,00,19000101
103PFN,21,01,36.29,42.15,48.24,54.55,61.08,67.86,74.87,82.17,89.75,97.63,F,NS,00,0000,00,19000101
103PFN,21,02,105.80,114.27,123.06,132.15,141.54,151.24,161.22,171.49,182.05,192.89,F,NS,00,0000,00,19000101
103PFN,21,03,204.00,215.38,227.01,238.90,251.06,263.46,276.10,288.99,302.15,315.59,F,NS,00,0000,00,19000101
103PFN,21,04,329.32,343.33,357.64,372.24,387.13,402.30,417.74,433.42,449.34,465.49,F,NS,00,0000,00,19000101
103PFN,21,05,481.80,498.26,514.85,531.56,548.36,565.24,582.19,599.18,616.23,633.31,F,NS,00,0000,00,19000101
103PFN,21,06,650.08,666.43,682.53,698.37,713.87,729.42,744.34,758.73,772.66,786.60,F,NS,00,0000,00,19000101
103PFN,21,07,802.01,818.34,835.24,852.76,871.20,892.12,917.57,952.24,,,F,NS,00,0000,00,19000101
103PFN,22,00,.00,.00,.00,1.61,6.27,11.10,16.14,21.37,26.82,32.48,F,NS,00,0000,00,19000101
103PFN,22,01,38.36,44.48,50.81,57.37,64.17,71.21,78.55,86.16,94.06,102.26,F,NS,00,0000,00,19000101
103PFN,22,02,110.77,119.59,128.72,138.15,147.88,157.91,168.22,178.82,189.70,200.86,F,NS,00,0000,00,19000101
